;;HISAP;PRIMER;VIBGRATE;FEEDER
325;11.41;9;7;7;30
326;11.41;9;7;7;30
327;11.41;9;7;7;30
328;11.41;9;7;7;30
329;11.41;9;7;7;30
330;11.41;9;7;7;30
331;11.41;9;7;7;30
332;11.41;9;7;7;30
333;11.41;9;7;7;30
334;11.41;9;7;7;30
335;11.41;9;7;7;30
336;11.41;9;7;7;30
337;11.41;9;7;7;30
338;11.41;9;7;7;30
339;11.41;9;7;7;30
340;11.41;9;7;7;30
341;11.41;9;7;7;30
342;11.41;9;7;7;30
343;11.41;9;7;7;30
344;11.41;9;7;7;30
345;11.41;9;7;7;30
346;11.41;9;7;7;30
347;11.41;9;7;7;30
348;11.41;9;7;7;30
349;11.41;9;7;7;30
350;11.41;9;7;7;30
351;11.41;9;7;7;30
352;11.41;9;7;7;30
353;11.42;8;7;7;30
354;11.42;8;7;7;30
355;11.42;8;7;7;30
356;11.42;8;7;7;30
357;11.42;8;7;7;30
358;11.42;8;7;7;30
359;11.42;8;7;7;30
360;11.42;8;7;7;30
361;11.42;8;7;7;30
362;11.42;8;7;7;30
363;11.42;8;7;7;30
364;11.42;8;7;7;30
365;11.42;8;7;7;30
366;11.42;8;7;7;30
367;11.42;8;7;7;30
368;11.42;8;7;7;30
369;11.42;8;7;7;30
370;11.42;8;7;7;30
371;11.42;8;7;7;30
372;11.42;8;7;7;30
373;11.42;8;7;7;30
374;11.42;8;7;7;30
375;11.42;8;7;7;30
376;11.42;8;7;7;30
377;11.42;8;7;7;30
378;11.42;8;7;7;30
379;11.42;8;7;7;30
380;11.42;8;7;7;30
381;11.42;8;7;7;30
382;11.42;8;7;7;30
383;11.42;8;7;7;30
384;11.42;8;7;7;30
385;11.43;8;7;7;30
386;11.43;8;7;7;30
387;11.43;8;7;7;30
388;11.43;8;7;7;30
389;11.43;8;7;7;30
390;11.43;8;7;7;30
391;11.43;8;7;7;30
392;11.43;8;7;7;30
393;11.43;8;7;7;30
394;11.43;8;7;7;30
395;11.43;8;7;7;30
396;11.43;8;7;7;30
397;11.43;8;7;7;30
398;11.43;8;7;7;30
399;11.43;8;7;7;30
400;11.43;8;7;7;30
401;11.43;8;7;7;30
402;11.43;8;7;7;30
403;11.43;8;7;7;30
404;11.43;8;7;7;30
405;11.43;8;7;7;30
406;11.43;8;7;7;30
407;11.43;8;7;7;30
408;11.43;8;7;7;30
409;11.43;8;7;7;30
410;11.43;8;7;7;30
411;11.43;8;7;7;30
412;11.44;10;7;7;30
413;11.44;10;7;7;30
414;11.44;10;7;7;30
415;11.44;10;7;7;30
416;11.44;10;7;7;30
417;11.44;10;7;7;30
418;11.44;10;7;7;30
419;11.44;10;7;7;30
420;11.44;10;7;7;30
421;11.44;10;7;7;30
422;11.44;10;7;7;30
423;11.44;10;7;7;30
424;11.44;10;7;7;30
425;11.44;10;7;7;30
426;11.44;10;7;7;30
427;11.44;10;7;7;30
428;11.44;10;7;7;30
429;11.44;10;7;7;30
430;11.44;10;7;7;30
431;11.44;10;7;7;30
432;11.44;10;7;7;30
433;11.44;10;7;7;30
434;11.44;10;7;7;30
435;11.44;10;7;7;30
436;11.44;10;7;7;30
437;11.44;10;7;7;30
438;11.44;10;7;7;30
439;11.44;10;7;7;30
440;11.44;10;7;7;30
441;11.45;10;7;7;30
442;11.45;10;7;7;30
443;11.45;10;7;7;30
444;11.45;10;7;7;30
445;11.45;10;7;7;30
446;11.45;10;7;7;30
447;11.45;10;7;7;30
448;11.45;10;7;7;30
449;11.45;10;7;7;30
450;11.45;10;7;7;30
451;11.45;10;7;7;30
452;11.45;10;7;7;30
453;11.45;10;7;7;30
454;11.45;10;7;7;30
455;11.45;10;7;7;30
456;11.45;10;7;7;30
457;11.45;10;7;7;30
458;11.45;10;7;7;30
459;11.45;10;7;7;30
460;11.45;10;7;7;30
461;11.45;10;7;7;30
462;11.45;10;7;7;30
463;11.45;10;7;7;30
464;11.45;10;7;7;30
465;11.45;10;7;7;30
466;11.46;10;7;7;30
467;11.46;10;7;7;30
468;11.46;10;7;7;30
469;11.46;10;7;7;30
470;11.46;10;7;7;30
471;11.46;10;7;7;30
472;11.46;10;7;7;30
473;11.46;10;7;7;30
474;11.46;10;7;7;30
475;11.46;10;7;7;30
476;11.46;10;7;7;30
477;11.46;10;7;7;30
478;11.46;10;7;7;30
479;11.46;10;7;7;30
480;11.46;10;7;7;30
481;11.46;10;7;7;30
482;11.46;10;7;7;30
483;11.46;10;7;7;30
484;11.46;10;7;7;30
485;11.46;10;7;7;30
486;11.46;10;7;7;30
487;11.46;10;7;7;30
488;11.46;10;7;7;30
489;11.46;10;7;7;30
490;11.46;10;7;7;30
491;11.46;10;7;7;30
492;11.46;10;7;7;30
493;11.46;10;7;7;30
494;11.46;10;7;7;30
495;11.47;10;7;7;30
496;11.47;10;7;7;30
497;11.47;10;7;7;30
498;11.47;10;7;7;30
499;11.47;10;7;7;30
500;11.47;10;7;7;30
501;11.47;10;7;7;30
502;11.47;10;7;7;30
503;11.47;10;7;7;30
504;11.47;10;7;7;30
505;11.47;10;7;7;30
506;11.47;10;7;7;30
507;11.47;10;7;7;30
508;11.47;10;7;7;30
509;11.47;10;7;7;30
510;11.47;10;7;7;30
511;11.47;10;7;7;30
512;11.47;10;7;7;30
513;11.47;10;7;7;30
514;11.47;10;7;7;30
515;11.47;10;7;7;30
516;11.47;10;7;7;30
517;11.47;10;7;7;30
518;11.47;10;7;7;30
519;11.47;10;7;7;30
520;11.47;10;7;7;30
521;11.47;10;7;7;30
522;11.48;10;5;7;30
523;11.48;10;5;7;30
524;11.48;10;5;7;30
525;11.48;10;5;7;30
526;11.48;10;5;7;30
527;11.48;10;5;7;30
528;11.48;10;5;7;30
529;11.48;10;5;7;30
530;11.48;10;5;7;30
531;11.48;10;5;7;30
532;11.48;10;5;7;30
533;11.48;10;5;7;30
534;11.48;10;5;7;30
535;11.48;10;5;7;30
536;11.48;10;5;7;30
537;11.48;10;5;7;30
538;11.48;10;5;7;30
539;11.48;10;5;7;30
540;11.48;10;5;7;30
541;11.48;10;5;7;30
542;11.48;10;5;7;30
543;11.48;10;5;7;30
544;11.48;10;5;7;30
545;11.48;10;5;7;30
546;11.48;10;5;7;30
547;11.48;10;5;7;30
548;11.48;10;5;7;30
549;11.48;10;5;7;30
550;11.48;10;5;7;30
551;11.48;10;5;7;30
552;11.48;10;5;7;30
553;11.48;10;5;7;30
554;11.49;10;5;7;30
555;11.49;10;5;7;30
556;11.49;10;5;7;30
557;11.49;10;5;7;30
558;11.49;10;5;7;30
559;11.49;10;5;7;30
560;11.49;10;5;7;30
561;11.49;10;5;7;30
562;11.49;10;5;7;30
563;11.49;10;5;7;30
564;11.49;10;5;7;30
565;11.49;10;5;7;30
566;11.49;10;5;7;30
567;11.49;10;5;7;30
568;11.49;10;5;7;30
569;11.49;10;5;7;30
570;11.49;10;5;7;30
571;11.49;10;5;7;30
572;11.49;10;5;7;30
573;11.49;10;5;7;30
574;11.49;10;5;7;30
575;11.49;10;5;7;30
576;11.49;10;5;7;30
577;11.49;10;5;7;30
578;11.49;10;5;7;30
579;11.49;10;5;7;30
580;11.49;10;5;7;30
581;11.49;10;5;7;30
582;11.50;10;5;7;30
583;11.50;10;5;7;30
584;11.50;10;5;7;30
585;11.50;10;5;7;30
586;11.50;10;5;7;30
587;11.50;10;5;7;30
588;11.50;10;5;7;30
589;11.50;10;5;7;30
590;11.50;10;5;7;30
591;11.50;10;5;7;30
592;11.50;10;5;7;30
593;11.50;10;5;7;30
594;11.50;10;5;7;30
595;11.50;10;5;7;30
596;11.50;10;5;7;30
597;11.50;10;5;7;30
598;11.50;10;5;7;30
599;11.50;10;5;7;30
