;;DRYING;PIRO;RED;COMB
395;11.43;0;3;1;7
396;11.43;0;2;0;8
397;11.43;-1;1;1;6
398;11.43;0;2;0;4
399;11.43;0;3;0;6
400;11.43;0;2;1;7
401;11.43;0;2;0;7
402;11.43;0;1;1;3
403;11.43;0;3;0;3
404;11.43;0;3;1;7
405;11.43;0;2;0;7
406;11.43;0;6;1;5
407;11.43;0;2;1;7
408;11.43;0;4;1;3
409;11.43;-1;1;0;4
410;11.43;0;1;0;5
411;11.43;0;2;1;4
412;11.44;0;3;1;5
413;11.44;0;2;0;9
414;11.44;0;2;1;6
415;11.44;0;3;0;5
416;11.44;0;2;1;5
417;11.44;0;2;1;7
418;11.44;0;2;1;5
419;11.44;0;5;2;4
420;11.44;0;2;1;4
421;11.44;-1;2;1;3
422;11.44;0;2;1;2
423;11.44;0;3;1;2
424;11.44;0;2;1;5
425;11.44;0;2;1;4
426;11.44;0;2;1;2
427;11.44;0;2;2;9
428;11.44;0;1;1;5
429;11.44;-1;2;2;4
430;11.44;1;1;0;5
431;11.44;0;2;2;4
432;11.44;0;2;2;3
433;11.44;0;2;2;3
434;11.44;0;1;1;4
435;11.44;0;0;1;2
436;11.44;0;2;2;2
437;11.44;0;3;2;2
438;11.44;0;1;2;3
439;11.44;0;2;4;3
440;11.44;0;1;1;4
441;11.45;0;2;2;4
442;11.45;1;2;3;2
443;11.45;0;1;3;4
444;11.45;0;2;3;4
445;11.45;0;1;3;5
446;11.45;0;2;3;5
447;11.45;0;2;5;4
448;11.45;0;1;3;5
449;11.45;0;2;5;7
450;11.45;0;3;5;5
451;11.45;0;1;3;2
452;11.45;0;2;6;6
453;11.45;0;1;3;10
454;11.45;0;2;4;5
455;11.45;0;1;3;3
456;11.45;0;3;10;5
457;11.45;0;2;4;4
458;11.45;0;3;9;2
459;11.45;0;2;6;6
460;11.45;0;1;2;3
461;11.45;0;0;2;4
462;11.45;0;1;2;3
463;11.45;0;1;4;3
464;11.45;0;2;4;4
465;11.45;0;1;4;3
466;11.46;0;3;9;1
467;11.46;0;2;6;3
468;11.46;0;1;3;3
469;11.46;-1;1;4;2
470;11.46;0;2;4;2
471;11.46;0;0;4;2
472;11.46;0;2;6;2
473;11.46;0;2;5;2
474;11.46;0;2;6;0
475;11.46;0;1;5;2
476;11.46;0;1;3;1
477;11.46;0;2;6;1
478;11.46;0;1;4;2
479;11.46;0;1;6;0
480;11.46;0;1;4;1
481;11.46;0;1;2;1
482;11.46;0;0;3;1
483;11.46;0;1;2;1
484;11.46;0;0;4;1
485;11.46;0;1;4;1
486;11.46;0;1;2;0
487;11.46;0;1;4;1
488;11.46;0;1;6;1
489;11.46;0;1;4;1
490;11.46;0;1;2;1
491;11.46;0;0;4;0
492;11.46;0;1;3;0
493;11.46;0;0;2;0
494;11.46;0;1;5;0
495;11.47;0;1;5;1
496;11.47;0;0;5;0
497;11.47;0;1;3;0
498;11.47;0;0;4;1
499;11.47;0;0;2;1
500;11.47;0;1;4;0
501;11.47;0;1;5;0
502;11.47;0;0;3;0
503;11.47;0;1;5;0
504;11.47;0;1;6;0
505;11.47;0;0;1;0
506;11.47;0;0;2;0
507;11.47;0;0;2;0
508;11.47;0;1;6;-1
509;11.47;0;0;1;0
510;11.47;0;0;3;0
511;11.47;0;0;2;0
512;11.47;0;0;3;0
513;11.47;-1;0;3;1
514;11.47;0;0;1;0
515;11.47;0;0;1;0
516;11.47;0;-1;6;1
517;11.47;0;0;2;0
518;11.47;0;0;2;-1
519;11.47;-1;-1;3;0
520;11.47;0;0;2;0
521;11.47;0;0;1;0
522;11.48;0;-1;1;-1
523;11.48;0;0;1;0
524;11.48;0;0;1;0
525;11.48;-1;0;2;0
526;11.48;0;-1;2;0
527;11.48;0;0;1;0
528;11.48;0;-1;2;0
529;11.48;-1;0;1;0
530;11.48;0;0;1;-1
531;11.48;0;-1;2;0
532;11.48;0;-1;1;-1
533;11.48;-1;0;1;-1
534;11.48;0;0;1;0
535;11.48;0;-1;1;-1
536;11.48;-1;0;0;0
537;11.48;0;-1;1;-1
538;11.48;0;0;1;0
539;11.48;0;-1;0;-1
540;11.48;0;0;1;0
541;11.48;-1;-1;1;-1
542;11.48;0;-1;2;0
543;11.48;-1;-1;0;0
544;11.48;0;0;1;0
545;11.48;0;-1;2;-1
546;11.48;-1;0;1;-1
547;11.48;0;0;0;0
548;11.48;0;-1;1;-1
549;11.48;0;0;0;0
550;11.48;0;0;1;-1
551;11.48;0;-1;1;0
552;11.48;-1;0;0;0
553;11.48;0;0;1;0
554;11.49;-1;-2;3;0
555;11.49;0;0;1;0
556;11.49;0;-1;1;0
557;11.49;0;0;1;-1
558;11.49;0;0;0;0
559;11.49;-1;-1;1;-2
560;11.49;0;0;1;0
561;11.49;0;0;1;-1
562;11.49;0;0;0;-1
563;11.49;0;-1;1;0
564;11.49;-1;0;1;-1
565;11.49;0;0;1;0
566;11.49;0;0;0;-1
567;11.49;0;-1;0;0
568;11.49;0;0;1;-1
569;11.49;0;0;0;-1
570;11.49;0;0;1;-1
571;11.49;-1;0;0;-1
572;11.49;0;-1;1;-1
573;11.49;0;0;0;-1
574;11.49;0;0;0;0
575;11.49;0;0;0;-1
576;11.49;-1;0;0;-1
577;11.49;0;0;1;0
578;11.49;0;0;0;-1
579;11.49;0;0;0;-1
580;11.49;0;-1;0;0
581;11.49;0;0;0;-1
582;11.50;0;0;0;-1
583;11.50;0;0;0;-2
584;11.50;-1;0;0;-1
585;11.50;0;-1;-1;-2
586;11.50;0;0;0;-1
587;11.50;0;0;0;-1
588;11.50;0;0;0;0
589;11.50;0;-1;0;-1
590;11.50;0;0;0;0
